fec;pet;eur;oro;dol;c18;c36;ibe
180418;73.48;3373.28;1412.20;2725.66;51.936;54.278;9857.30
190418;73.78;3344.98;1407.50;2705.64;51.961;53.911;9868.00
200418;74.06;3344.83;1396.90;2724.47;51.999;53.575;9884.20
210418;74.61;3385.95;1385.80;2757.96;52.031;53.294;9910.04
220418;74.98;3385.95;1379.32;2757.96;52.038;53.094;9928.44
230418;74.71;3369.95;1382.70;2757.96;52.000;53.000;9922.00
240418;73.86;3418.97;1391.80;2799.45;51.905;53.027;9883.40
250418;74.00;3389.89;1381.60;2785.22;51.765;53.151;9858.00
260418;74.74;3415.94;1376.70;2820.29;51.597;53.337;9902.30
270418;74.64;3403.52;1382.30;2812.83;51.418;53.549;9925.40
280418;75.23;3395.60;1386.85;2806.28;51.248;53.754;9927.71
290418;75.88;3395.60;1385.99;2806.28;51.102;53.916;9937.38
300418;75.17;3390.27;1377.80;2806.28;51.000;54.000;9980.60
10518;73.13;3368.53;1365.10;2809.92;50.953;53.982;10060.63
20518;73.36;3359.26;1364.00;2809.92;50.949;53.879;10088.90
30518;73.62;3384.51;1371.10;2831.99;50.973;53.716;10038.80
40518;74.87;3409.13;1373.40;2857.85;51.006;53.520;10104.10
50518;76.30;3391.90;1373.35;2843.41;51.033;53.318;10146.07
60518;76.98;3391.90;1372.95;2843.41;51.037;53.136;10145.04
70518;76.17;3387.35;1372.90;2843.41;51.000;53.000;10140.90
80518;74.85;3339.51;1372.50;2817.20;50.911;52.930;10168.10
90518;77.21;3397.36;1371.70;2866.00;50.780;52.914;10221.20
100518;77.47;3396.53;1380.80;2859.51;50.620;52.935;10246.60
110518;77.12;3370.76;1379.10;2822.37;50.448;52.972;10271.40
120518;77.34;3372.76;1384.14;2824.05;50.277;53.008;10280.98
130518;77.86;3372.76;1388.95;2824.05;50.123;53.023;10274.10
140518;78.23;3379.54;1376.60;2824.05;50.000;53.000;10257.80
150518;78.43;3349.61;1348.50;2824.05;49.919;52.925;10207.60
160518;79.28;3405.71;1350.10;2889.87;49.877;52.805;10111.00
170518;79.30;3378.56;1347.90;2865.37;49.866;52.654;10216.40
180518;78.51;3396.80;1349.20;2886.23;49.881;52.485;10112.40
190518;78.32;3443.22;1349.53;2925.67;49.912;52.311;10010.38
200518;78.71;3443.22;1348.52;2925.67;49.954;52.145;9996.93
210518;79.22;3437.37;1349.00;2925.67;50.000;52.000;10066.50
220518;79.57;3410.78;1350.00;2897.37;50.042;51.888;10138.80
230518;79.80;3337.02;1347.40;2851.42;50.077;51.811;10025.00
240518;78.79;3356.58;1362.40;2863.24;50.101;51.771;9996.00
250518;76.44;3336.39;1361.40;2863.12;50.108;51.769;9826.50
260518;75.32;3364.41;1332.44;2887.16;50.097;51.806;9803.09
270518;75.28;3364.41;1298.30;2887.16;50.062;51.882;9854.40
280518;75.30;3354.88;1297.60;2887.16;50.000;52.000;9764.40
290518;75.39;3338.42;1354.60;2887.16;49.908;52.157;9521.30
300518;77.50;3360.01;1357.60;2893.82;49.791;52.339;9566.20
310518;77.59;3360.74;1355.90;2879.32;49.653;52.527;9465.50
10618;76.79;3369.52;1350.90;2889.32;49.499;52.705;9632.40
20618;75.99;3344.92;1346.77;2868.22;49.336;52.855;9778.77
30618;75.43;3344.92;1346.21;2868.22;49.168;52.959;9808.90
40618;75.29;3354.38;1349.40;2868.22;49.000;53.000;9750.30
50618;75.38;3346.64;1354.10;2868.22;48.838;52.965;9686.40
60618;75.36;3375.41;1353.50;2865.37;48.681;52.867;9791.60
70618;77.32;3344.32;1354.40;2828.42;48.531;52.721;9829.00
80618;76.46;3336.30;1354.40;2835.78;48.388;52.544;9746.30
90618;76.06;3359.85;1355.38;2855.80;48.251;52.354;9745.52
100618;76.46;3359.85;1356.47;2855.80;48.122;52.167;9820.85
110618;76.46;3371.27;1355.50;2855.80;48.000;52.000;9898.30
120618;75.88;3365.56;1351.80;2855.80;47.887;51.868;9914.40
130618;76.74;3363.39;1353.50;2857.11;47.793;51.775;9899.10
140618;75.94;3330.65;1360.60;2859.17;47.730;51.724;9957.70
150618;73.44;3321.92;1329.30;2859.78;47.707;51.719;9851.00
160618;73.09;3357.09;1315.47;2890.06;47.737;51.761;9781.00
170618;74.36;3357.09;1322.35;2890.06;47.831;51.854;9773.71
